clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
188 187 2 13 2 CRO Croton-sp. XXX XXX 1.2 7 N -1 -1 -1
188 187 2 14 1 CRO Croton-sp. XXX XXX 1.8 1 N -1 -1 -1
188 187 2 15 1 CRO Croton-sp. XXX XXX 6.3 1 N -1 -1 -1
188 187 2 16 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 8 1 N 11 7 -1
188 187 2 17 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 9.5 1 N -1 -1 -1
188 187 2 18 1 HMN-ULM Hymenocardia-ulmoides XXX XXX 6 1 N -1 -1 -1
188 187 2 19 1 BSC-ANG Boscia-angustifolia XXX XXX 20 1 N -1 -1 -1
188 187 2 20 1 VPR Vepris-sp. XXX XXX 11.5 1 N -1 -1 -1
188 187 2 21 1 UVA Uvaria-sp. XXX XXX 17 1 N 19 12 -1
188 187 2 22 1 COL Cola-sp. XXX XXX 38.8 1 N -1 -1 5
188 187 2 23 1 COM Commiphora-sp. XXX XXX 31.5 7 N -1 -1 -1
188 187 2 24 1 LNN-SCH Lannea-schweinfurthii XXX XXX 51 1 N -1 -1 10
188 187 1 1 1 OCH Ochna-sp. XXX XXX 6.5 1 N -1 -1 -1
188 187 1 2 1 CTN Catunaregam-sp. XXX XXX 2.5 7 N -1 -1 -1
